"","version","doi","v1","v2","v3","v4","v5","v6"
"3445","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3445,"schwäche",1.78082191944122,1.35653328895569,3,3
"3446","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3446,"schwächere",1.19047617912292,1.36451625823975,0,0
"3447","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3447,"schwächung",1,1.48323965072632,0,0
"3448","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3448,"schwänzen",1.875,1.62788200378418,0,0
"3449","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3449,"schwärzen",1.79999995231628,1.47572958469391,3,3
"3450","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3450,"schwätzen",2.70000004768372,1.33749353885651,3,3
"3451","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3451,"schäbig",2.96341466903687,0.964970767498016,3,3
"3452","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3452,"schäbigkeit",3,0.471404522657394,3,3
"3453","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3453,"schädigen",2.8048779964447,0.813004076480865,3,3
"3454","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3454,"schädigung",2.59999990463257,1.06996619701385,3,3
"3455","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3455,"schädlich",2.68181824684143,1.21052384376526,3,3
"3456","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3456,"schämen",2.51282048225403,1.17218947410583,3,3
"3457","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3457,"schändlich",2.55555558204651,1.13038837909698,3,3
"3458","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3458,"schändlicherweise",2.90000009536743,0.31622776389122,3,3
"3459","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3459,"schärfste",2.12195110321045,1.28831517696381,3,3
"3460","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3460,"schärfstens",2.59999990463257,1.26491105556488,3,3
"3461","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3461,"schönfärben",2.40000009536743,0.966091811656952,3,3
"3462","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3462,"schönfärberei",2,1.35400640964508,3,3
"3463","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3463,"schönheitsfehler",1.94117641448975,1.16658353805542,2,2
"3464","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3464,"schönreden",1.90625,1.11758303642273,2,2
"3465","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3465,"schüchtern",3.20000004768372,0.63245552778244,3,3
"3466","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3466,"schüren",2.43661975860596,1.22745263576508,3,3
"3467","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3467,"schütteln",1.75,1.45912039279938,3,0
"3468","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3468,"schützengraben",2.34482765197754,1.2034432888031,3,3
"3469","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3469,"sehend",3,0.725476264953613,3,3
"3470","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3470,"sehnen",1.5,1,2,2
"3471","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3471,"sehnsucht",0.16666667163372,0.57735025882721,0,0
"3472","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3472,"seicht",2.01492547988892,1.09395778179169,2,2
"3473","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3473,"seifenblase",2.14000010490417,1.04997575283051,2,2
"3474","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3474,"seitenhieb",1.95867764949799,1.08317971229553,2,2
"3475","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3475,"seitensprung",2.5,0.527046263217926,2,2
"3476","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3476,"sekte",2,1.38777732849121,3,3
